"combo_id","seed","design_group","lac_0","mu_0","gam_0","laa_0","K_0","K_1","mu_1","laa_1","lambda0"
1,1014729,"broad_lhs",0.296217408962066,0.655755296206209,0.0209087667423838,1.12248616182063,126.078478967926,55.6109144153778,0.0133003115893031,0.073015720458546,0.461796997444471
2,1119458,"broad_lhs",0.140111248359825,0.333953530376192,0.0295853961019007,0.326219660211342,60.033648214303,32.2536468455527,0.0512002967086931,0.134594091831305,1.02831895663558
3,1224187,"broad_lhs",0.874681123317751,0.216249482758285,0.0241185547305717,1.30384167842437,92.1220630066172,52.4005220939101,0.0496822026669591,0.143321336332333,0.917937735400628
4,1328916,"broad_lhs",0.151884556431216,0.288436724727486,0.0629373819263053,0.158550530223058,94.910223182556,36.3452637086149,0.0612201187909037,0.113976990084953,0.960623440575243
5,1433645,"broad_lhs",0.0347282725840113,0.0211296386202616,0.289045580549924,2.37753091437988,139.302579340583,8.10775888829762,0.0931303787818178,0.0335535883325954,0.582437593586898
6,1538374,"broad_lhs",0.265547134895787,0.147056677212895,0.157591483032652,0.0896972459381292,120.243725502256,35.7030561731363,0.0618581285196512,0.194486393016543,0.16184685866038
7,1643103,"broad_lhs",0.19704018793444,0.543258327720157,0.00736764406314797,2.15685393159493,62.4186826963948,12.1922869017807,0.123687411382329,0.00281188041831936,0.13189467051959
8,1747832,"broad_lhs",0.472859525605772,0.0472365037358054,0.02899025082061,0.0825263181484819,116.963196029246,3.01434609303444,0.0725300246711122,0.0723029857785958,0.820030825001498
9,1852561,"mu1_only",0.670676487357249,0.0855003613353371,0.0390916456619193,0.289761897286445,22.8888439724687,0,0.0899931314532878,0,0
10,1957290,"broad_lhs",0.773102233995123,0.346574264702541,0.0414735124059598,0.495358509852524,28.5445545312379,59.1737207875585,0.072398310742923,0.118705939870561,0.671147432792932
11,2062019,"broad_lhs",1.13146100701529,0.0257713537836388,0.00948681852615409,2.47136730652496,127.304514630523,7.15634002966283,0.14242817176894,0.241562029202469,0.565452249770751
12,2166748,"broad_lhs",0.107466918039414,0.0806084370798892,0.165297375576157,0.763606927697535,52.4930517047243,0.000306995221112559,0.100241897724336,0.122276605172083,0.835347723527812
13,2271477,"broad_lhs",0.539982122443888,0.124744197219492,0.0387636699818135,0.0463266740770653,99.3792792112799,48.9534763308543,0.00315341933222953,0.0840151741959724,1.1422982750965
14,2376206,"broad_lhs",0.525379537090178,0.335343341036436,0.00633850643516272,0.0493208368040936,85.5297343299349,58.1938972086719,0.132672777598336,0.136626308248702,0.881780351946751
15,2480935,"broad_lhs",0.203739521185374,0.0235524558845477,0.022050082466131,2.28099996231627,92.6438338179529,13.965110976803,0.0118138223309458,0.125232257609087,1.13671391156657
16,2585664,"broad_lhs",0.0825335633979008,0.0778005202387581,0.0131377456730187,1.47416064756985,125.297052807129,1.08375810278029,0.0210548224043644,0.21257369208266,1.18161393982824
17,2690393,"broad_lhs",0.101739731548889,0.274860726361459,0.0138404218014827,0.0898296497048798,105.836277542306,30.1483965032845,0.0888226351488847,0.0770766562376715,0.56076539224751
18,2795122,"broad_lhs",0.105383953586557,0.110910054864322,0.0597204793242611,0.157844744441287,68.030654078951,2.57786315753656,0.116370843876114,0.131959703682029,0.333103512978802
19,2899851,"broad_lhs",0.107096247300553,0.0723236178737002,0.0763458869542787,0.122795054306257,87.6426231518336,22.4169752797737,0.110808174956978,0.111989182239696,0.694601034765753
20,3004580,"broad_lhs",0.177829354338703,0.0534182043652502,0.0807247068189,1.66945833253161,43.6839201338201,22.771512727943,0.0166908436821541,0.103882077004592,1.00938986432583
21,3109309,"K1_only",0.567562632289271,0.178574818712953,0.00719341795705293,1.06661265745737,97.5880264068837,0.280649608004849,0,0,0
22,3214038,"broad_lhs",0.0366471837773615,0.727182391033575,0.0663145514651806,0.0445830338413535,109.108530426812,0.0425728891447983,0.0135694487365739,0.0446372509532375,1.09074722955741
23,3318767,"broad_lhs",0.907474466357465,0.0282277068887614,0.0108023185078867,0.180091438843712,135.354532906915,73.8060998201754,0.0462071997191912,0.00559749562746017,1.21140248875832
24,3423496,"broad_lhs",0.118733311082455,0.305315995419504,0.111267637180807,0.0849278653368827,97.6910291938434,0.033419309684974,0.0366496775953177,0.057707406505813,0.456457381388949
25,3528225,"no_mutualism",0.582623796884915,0.078259497386927,0.0795074598499057,0.256794165132009,78.7701163353631,0,0,0,0
26,3632954,"broad_lhs",0.13070861099998,0.367511800292551,0.173756551051328,1.8696436285434,136.872077148518,64.3295725635913,0.0324293321916678,0.00899943661817815,0.575507453478252
27,3737683,"broad_lhs",0.0507947319206328,0.0444828458432638,0.166476041928244,0.0625495929350763,34.1314592313009,24.3306962245512,0.0764882250921025,0.0231268234843931,1.26318162721776
28,3842412,"broad_lhs",0.80298103681069,0.231140809967123,0.0865834691840499,1.82112043900496,104.259769338726,0.0986625850923312,0.0732677608535547,0.225495820924213,0.351506263661431
29,3947141,"broad_lhs",0.654788215541315,0.445806861225561,0.190510816792047,1.73542098307948,24.2856720328887,31.0000443013864,0.149263653173305,0.140848069920256,0.141542546039758
30,4051870,"broad_lhs",0.842198057234988,0.0346921517176116,0.0330899575378663,1.48488170913203,50.6804452698755,69.2640940218372,0.057512984468524,0.157190356157177,0.756532400253927
31,4156599,"K1_only",0.0758855273846719,0.0986224756736253,0.182516391742302,0.160131128433248,44.260197194526,1.4203219361386,0,0,0
32,4261328,"no_mutualism",0.307375735082123,0.0464315443753131,0.0162634351924485,0.135070786779068,75.6017113249982,0,0,0,0
