"combo_id","lac_0","mu_0","gam_0","laa_0","K_0","K_1","mu_1","laa_1","lambda0"
1,0.873337879986758,0.285245667588299,0.0541120188323059,0.960265801335801,31,123.02224678318,0.00492589106464758,0.00953275240565185,0.643723070530454
2,0.577931861666683,0.104147091563451,0.0344219842213322,0.465652227138262,28,112.234272247728,0.00534831395394634,0.00445772615213878,0.0234891898967326
3,0.648639453002112,0.175529405501822,0.0973697457776195,0.405015606167121,92,75.6118132128613,0.00726382707871962,0.009120982364472,0.10203161960491
4,0.718243233279348,0.42721757934012,0.0489440058722696,0.201490170745389,32,61.8410128695192,0.0123340310241142,0.0124735007769987,0.808090614893706
5,0.75877479553984,0.127446929725488,0.0593675207789708,0.632261907949485,60,143.111267984135,0.0131156832972029,0.0118532475975808,0.604736967044882
6,0.124991999066249,0.110298581024371,0.179513658357842,0.849208954545273,36,93.8742053274647,0.00447632058633491,0.0118650783059327,0.382235491035506
7,0.860963741251617,0.36025911878404,0.101203742189354,0.282874390758038,55,22.5439737069653,0.0183118391354289,0.00180642639005557,0.520470523167634
8,0.775117569139926,0.0322423842260288,0.0207274502322171,0.912492156826192,72,77.8835055332165,0.0140143198448513,0.0161162254564604,0.939229202285176
9,0.488048803491564,0.26767392624218,0.0798682418093178,0.257319061227492,38,67.1312293697032,0.00807552857870236,0.0131775476964237,0.116117622789927
10,0.768575142910727,0.447864448604907,0.0704271124092257,0.557704869286134,53,13.1456891024834,0.0182710682627605,0.00385234122436028,0.214654404697707
11,0.101483411628427,0.346589948076967,0.085950479077769,0.298229435747466,93,78.3809820278431,0.0168909376913449,0.0134025030369544,0.182085295787081
12,0.75720548362569,0.412586664344622,0.176827577535377,0.110210606685351,46,97.0408076464199,0.0118418554487638,0.00249748789223377,0.92153217808227
13,0.517198989111208,0.167520766669272,0.133182266939958,1.11113385946907,29,99.5067627649871,0.0044445577047579,0.00899837018416263,0.396007843411295
14,0.505300383663736,0.416027652904983,0.100098008775094,1.97080795133945,48,86.8727942215162,0.0177410617713025,0.004475893585179,0.788401244906476
15,0.122852325065644,0.262485393395731,0.0391418270500097,1.53243656773313,78,94.8227620224701,0.00106561841396149,0.00960365692289546,0.75909560046671
